GuardianEmail, FirstName, LastName, Email, Age, StudentId, GuardianEmail2, Gender
evelynt+guardian+academy@chalk.com,Evelyn,Torgenson,evelynt+student+academy@chalk.com,0,1,,null
josephs+guardian+academy@chalk.com,Joseph,Sturdevant,josephs+student+academy@chalk.com,0,2,,null
scottyb+guardian+academy@chalk.com,Scotty,Busch,scottyb+student+academy@chalk.com,0,3,nickyb+guardian+academy@chalk.com,null
nickyb+guardian+academy@chalk.com,Nicky,Busch,nickyb+student+academy@chalk.com,0,4,scottyb+guardian+academy@chalk.com,null
hilmah+guardian+academy@chalk.com,Hilma,Habbard,hilmah+student+academy@chalk.com,0,5,,null
avisf+guardian+academy@chalk.com,Avis,Faulcon,avisf+student+academy@chalk.com,0,6,,null
,Marybeth,Bolduc,marybethb+student+academy@chalk.com,0,7,,null
scarleta+guardian+academy@chalk.com,Scarlet,Alt,scarleta+student+academy@chalk.com,0,8,,null
,Rheba,Loftin,rhebal+student+academy@chalk.com,0,9,,null
,Marvel,Alexander,marvela+student+academy@chalk.com,0,10,,null
terrir+guardian+academy@chalk.com,Terri,Robeson,terrir+student+academy@chalk.com,0,11,,null
tituss+guardian+academy@chalk.com,Titus,Seese,tituss+student+academy@chalk.com,0,12,,null
dionneh+guardian+academy@chalk.com,Dionne,Heron,dionneh+student+academy@chalk.com,0,13,dionneh2+guardian+academy@chalk.com,null
tannaw+guardian+academy@chalk.com,Tanna,Weisberg,tannaw+student+academy@chalk.com,0,14,,null
,Ethel,Kleckner,ethelk+student+academy@chalk.com,0,15,,null
lorenzaw+guardian+academy@chalk.com,Lorenza,Waggener,lorenzaw+student+academy@chalk.com,0,16,,null
nannies+guardian+academy@chalk.com,Nannie,Stupka,nannies+student+academy@chalk.com,0,17,,null
,Emile,Rincon,emiler+student+academy@chalk.com,0,18,,null
zeneidah+guardian+academy@chalk.com,Zeneida,Hotard,zeneidah+student+academy@chalk.com,0,19,,null
lenoras+guardian+academy@chalk.com,Lenora,Speights,lenoras+student+academy@chalk.com,0,20,,null
